,date,state,positive,tests,hospitalized,death_total,death,positive_total,pos_rate,death_rate,death_rate_est
17,2020-12-02,IN,6597,46499,3441.0,5973.0,109,350970.0,14.187401879610315,1.7018548593896916,0.17018548593896915
18,2020-12-02,KS,4615,8298,1196.0,1679.0,119,162061.0,55.61581103880453,1.0360296431590574,0.10360296431590574
19,2020-12-02,KY,3597,11557,1768.0,1980.0,37,186765.0,31.1239941161201,1.0601558107782507,0.10601558107782506
20,2020-12-02,LA,3595,64048,1288.0,6501.0,46,241335.0,5.612977766674994,2.6937659270308907,0.26937659270308906
21,2020-12-02,MA,5027,105845,1259.0,10824.0,46,234232.0,4.749397704190089,4.621059462413333,0.4621059462413334
22,2020-12-02,MD,2220,35566,1578.0,4715.0,42,203355.0,6.241916437046617,2.3186053945071428,0.23186053945071428
23,2020-12-02,ME,232,10632,138.0,218.0,4,12208.0,2.18209179834462,1.7857142857142856,0.17857142857142858
24,2020-12-02,MI,7433,45433,4266.0,9842.0,83,402886.0,16.360354808179075,2.442874659332913,0.24428746593329131
25,2020-12-02,MN,5165,38689,1704.0,3692.0,77,327477.0,13.350047817209026,1.1274074209791833,0.11274074209791833
26,2020-12-02,MO,2679,14639,2651.0,4043.0,37,305370.0,18.30043035726484,1.3239676458067264,0.13239676458067262
27,2020-12-02,MP,0,0,,2.0,0,106.0,,1.8867924528301887,0.18867924528301888
28,2020-12-02,MS,2457,2457,1135.0,3851.0,15,156868.0,100.0,2.4549302598362956,0.24549302598362954
29,2020-12-02,MT,1135,2686,478.0,713.0,15,64340.0,42.25614296351452,1.1081753186198322,0.11081753186198322
30,2020-12-02,NC,4199,33967,2039.0,5366.0,82,371594.0,12.361998410221686,1.444049150416853,0.1444049150416853
31,2020-12-02,ND,480,5195,316.0,972.0,12,80135.0,9.239653512993263,1.2129531415735946,0.12129531415735946
32,2020-12-02,NE,1787,15866,869.0,1080.0,62,130194.0,11.263078280600025,0.829531314807134,0.08295313148071339
33,2020-12-02,NH,566,6549,162.0,537.0,9,22332.0,8.642540845930677,2.4046211714132184,0.24046211714132187
